	CCA Component 1	CCA Component 2	CCA Component 3	CCA Component 4	CCA Component 5
0	100001256	100000272	     1342	100006292	     1113
1	100001211	      117	999923782	100006115	     1001
2	100001526	     1084	      136	999925790	100009028
3	100004542	100001121	     1026	999924241	100009246
4	999921928	     2054	100008933	100005384	      254
5	     1342	100009394	     1114	     2029	100000652
6	100001561	100020967	999921796	100001586	100000467
7	100009181	100002367	100001386	100000652	100009232
8	100000442	     1223	100001211	100010895	100001300
9	100006438	100008990	      818	      418	100002154
10	100003434	100006240	100001609	100001211	100002500
11	999924241	100021123	100021123	      935	999923639
12	100002196	100001112	     1110	100009232	      445
13	100001466	999923639	      873	100004299	     1025
14	      249	100000773	      512	      278	100002196
15	100000454	100009009	100002668	      409	999923782
16	100005985	     1134	      500	100003260	100001314
17	100004396	      501	100001540	      192	100001170
18	      827	      209	100015962	      501	      339
19	100015966	100016069	100001103	100001540	100003926
