	CCA Component 1	CCA Component 2	CCA Component 3	CCA Component 4	CCA Component 5
0	      806	      338	     2029	999923739	100008933
1	999923171	999914837	100008908	      358	     1215
2	      501	100001170	     1025	100009246	100001446
3	100000924	      501	100001112	100004290	100003695
4	100001034	100002749	100009394	100020825	999925790
5	      418	100001668	100002227	100008915	     1025
6	100000101	100009028	     1097	100009219	100002500
7	100005466	      882	999924425	100016069	      445
8	     1254	      873	     2054	100021784	      535
9	999923782	100004054	100006430	999923171	      356
10	100020825	999915220	100000641	999915220	100015966
11	     1083	100015962	100009069	       98	100001271
12	100001415	100001313	100002466	100009329	100001433
13	100010945	     1162	100008929	100009181	999925855
14	100001211	100000827	      279	     1531	100003260
15	100006367	100004635	       49	999924697	100015616
16	100001386	100015966	      331	100001743	      437
17	100008977	999923782	100001446	      232	      469
18	100000840	100009069	      882	     1254	100000454
19	     1211	100002784	100000008	100000406	100001121
