	CCA Component 1	CCA Component 2	CCA Component 3	CCA Component 4	CCA Component 5
0	A1BG	CRAT	A2M	JAM2	SERPINA3
1	GC	GSTZ1	APOB	PELO	LRG1
2	F2	QRSL1	SCO2	DGUOK	SAA1
3	HPX	TMEM121B	ADHFE1	PPID	ORM1
4	ITIH1	VCPIP1	CCDC22	EARS2	SERPINA1
5	SERPINC1	NETO2	SCFD2	RANBP9	ORM2
6	PLG	PCDH10	UMPS	GSTM1	IDNK
7	C3	MCUR1	HBG2	BORCS6	RPRD1A
8	KNG1	FOXK1	BNIP1	SLIRP	CRP
9	CFH	TBC1D17	COQ3	NUP85	HCLS1
10	ALB	GATC	PPP1R13B	ISCA2	FGA
11	CP	TUBGCP3	CDS2	ZNRF2	HP
12	ITIH2	ATAT1	HBA1	NECTIN3	VPS37A
13	PON1	HERC4	CFH	SLC1A4	CD14
14	C9	MRPL18	EARS2	SERPINA3	RPS9
15	ITIH4	RPRD1B	GADD45GIP1	GSTM5	RPL7
16	APOA1	RAB21	SNF8	SHMT1	LYPLA2
17	C4BPA	ALDH9A1	HBB	PHF2	SMARCD3
18	FGG	MSRA	PFAS	FASTKD5	MCCC2
19	ORM2	COX6C	C3	PPIL3	AVEN
