	CCA Component 1	CCA Component 2	CCA Component 3	CCA Component 4	CCA Component 5
0	A1BG	HSD17B4	A2M	GALM	SERPINA3
1	KNG1	ERLIN1	ALB	GSTM5	SAA1
2	GC	NIT1	MT3	PTGR1	CRP
3	PLG	ACOX3	ME1	ADK	SERPINA1
4	TF	PNPO	ATIC	KCTD10	LRG1
5	F2	UBE2F	RPIA	AKR1A1	ORM1
6	C3	EPM2A	CP	SIRPA	FGA
7	SERPINA1	CARHSP1	CFH	GSTM2	HCLS1
8	ITIH2	UMPS	CHUK	CLSTN3	ORM2
9	CP	CTSB	AGL	ETFB	FGG
10	CFH	SH2B1	HNMT	ETFA	FGB
11	ITIH1	GSTO1	IGHV1-69	NUBP2	HP
12	ALB	TUBGCP4	RGN	ACAP2	CD14
13	SERPINC1	ADD3	HBD	ILVBL	CD163
14	HPX	OSBP2	GET4	ARHGAP23	C1S
15	ORM2	GSR	COG3	PUDP	FKBP5
16	C9	TXNDC17	CRIP1	GIT2	C9
17	APOA1	GATD3A	DECR1	TST	SPP1
18	ORM1	CHRM3	C7	SMYD2	ITIH4
19	AMBP	ASPHD1	BTN2A1	NDUFAF4	FCGBP
